caseid_new,marital_status,age,partner_age,education,partner_education,ethnicity,children,visits_relatives,gender,house,income,msa,rent,political,religion,work,lgbtq,success,age_diff_abs,gender_older,education_difference
22526,living with partner,52,48,bachelor's degree or higher,some college,hispanic,0.0,0,female,a building with 2 or more apartments,"$20,000 to $24,999",metro,rented for cash,democrat,catholic,working - as a paid employee,0,1.0,4,1,1
23286,living with partner,28,30,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a building with 2 or more apartments,"$40,000 to $49,999",metro,rented for cash,democrat,jewish,working - as a paid employee,0,1.0,2,0,0
26315,never married,31,40,some college,high school,"white, non-hispanic",0.0,1,male,a building with 2 or more apartments,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,"other non-christian, please specify:",working - as a paid employee,0,0.0,9,1,1
28536,living with partner,53,55,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,2,1,0
29584,separated,58,51,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$15,000 to $19,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,7,0,0
33536,living with partner,53,44,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house attached to one or more houses,"$175,000 or more",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - self-employed,0,1.0,9,0,0
34341,married,34,34,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$75,000 to $84,999",metro,rented for cash,democrat,"other non-christian, please specify:",working - as a paid employee,0,1.0,0,0,0
35653,divorced,65,50,bachelor's degree or higher,some college,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,0.0,15,0,1
36493,divorced,49,46,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,3,male,a one-family house detached from any other house,"$40,000 to $49,999",non-metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,0.0,3,0,0
40335,never married,33,27,bachelor's degree or higher,high school,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$40,000 to $49,999",metro,rented for cash,democrat,none,working - as a paid employee,0,0.0,6,0,2
